vehicle_id,shape_collider,length,width
92929,delivery,6.5,2.16
92930,delivery,6.5,2.16
92933,delivery,6.5,2.16
92934,passenger,5,1.8
92935,delivery,6.5,2.16
92936,passenger,5,1.8
92937,delivery,6.5,2.16
92940,motorcycle,2.2,0.9
92941,bus,12,2.5
92942,passenger,5,1.8
92943,delivery,6.5,2.16
92944,delivery,6.5,2.16
92946,passenger,5,1.8
92947,motorcycle,2.2,0.9
92948,delivery,6.5,2.16
92949,moped,2.1,0.8
92951,delivery,6.5,2.16
92952,delivery,6.5,2.16
92953,delivery,6.5,2.16
92954,delivery,6.5,2.16
92955,motorcycle,2.2,0.9
92956,motorcycle,2.2,0.9
92957,delivery,6.5,2.16
92958,passenger,5,1.8
92959,moped,2.1,0.8
92960,delivery,6.5,2.16
92961,motorcycle,2.2,0.9
92962,passenger,5,1.8
92963,passenger,5,1.8
92964,passenger,5,1.8
92965,delivery,6.5,2.16
92966,delivery,6.5,2.16
92967,delivery,6.5,2.16
92968,motorcycle,2.2,0.9
92969,delivery,6.5,2.16
92971,motorcycle,2.2,0.9
92972,delivery,6.5,2.16
92973,delivery,6.5,2.16
92974,passenger,5,1.8
92975,motorcycle,2.2,0.9
92976,passenger,5,1.8
92977,passenger,5,1.8
92978,delivery,6.5,2.16
92979,passenger,5,1.8
92980,passenger,5,1.8
92981,bus,12,2.5
92982,delivery,6.5,2.16
92983,delivery,6.5,2.16
92984,motorcycle,2.2,0.9
92985,delivery,6.5,2.16
92986,passenger,5,1.8
92987,passenger,5,1.8
92989,moped,2.1,0.8
92990,passenger,5,1.8
92991,passenger,5,1.8
92992,bus,12,2.5
92993,passenger,5,1.8
92994,delivery,6.5,2.16
92995,passenger,5,1.8
92996,bus,12,2.5
92997,motorcycle,2.2,0.9
92998,moped,2.1,0.8
92999,passenger,5,1.8
93001,delivery,6.5,2.16
93002,delivery,6.5,2.16
93003,delivery,6.5,2.16
93004,motorcycle,2.2,0.9
93005,motorcycle,2.2,0.9
93006,passenger,5,1.8
93007,delivery,6.5,2.16
93008,delivery,6.5,2.16
93009,delivery,6.5,2.16
93010,delivery,6.5,2.16
93011,bus,12,2.5
93012,passenger,5,1.8
93013,delivery,6.5,2.16
93014,delivery,6.5,2.16
93015,moped,2.1,0.8
93016,bus,12,2.5
93018,delivery,6.5,2.16
93019,motorcycle,2.2,0.9
93020,passenger,5,1.8
93021,delivery,6.5,2.16
93022,delivery,6.5,2.16
93023,passenger,5,1.8
93024,delivery,6.5,2.16
93025,delivery,6.5,2.16
93027,passenger,5,1.8
93028,bus,12,2.5
93029,bus,12,2.5
93031,moped,2.1,0.8
93032,passenger,5,1.8
93034,passenger,5,1.8
93035,moped,2.1,0.8
93036,delivery,6.5,2.16
93037,delivery,6.5,2.16
93038,passenger,5,1.8
93039,moped,2.1,0.8
93040,moped,2.1,0.8
